pref,city,pop,A2_car,A3_public,A4_walk_bike,A6,B1,B2,B3,B4,C1_park_area,D1,D3,PC1_A,PC1_B,PC1_C,PC1_D,GSRPI,GSRPI_rank,cluster,cluster_name,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8
千葉県,松戸市,498232,41.1,26.6,18.4,25.5,4.2,48.8,23.5,32.9,3.24,97.0,200.0,-0.4956367295547693,-0.34233716957100463,-0.8632526933966473,1.1145775380797827,-0.14666226361065965,36,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,6
埼玉県,川口市,594274,42.2,30.9,18.0,23.5,4.8,50.0,24.0,33.2,2.69,98.5,180.0,-0.07003001010132616,-0.8896727444088658,-1.0718350998234856,1.3548505690009744,-0.16917182133317582,37,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,5,6
千葉県,柏市,426468,44.0,27.0,16.5,23.8,4.8,50.0,24.5,33.2,6.37,90.0,255.0,-0.351451694397142,-0.9720611063179282,0.3237708195415406,0.29826082167327717,-0.17537028987506315,38,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,1
千葉県,八千代市,200879,44.8,24.7,14.0,24.0,3.8,47.8,22.8,32.7,3.34,88.0,240.0,-0.5114646576313963,0.10911064132263605,-0.8253286195008588,0.3093722455454447,-0.22957759756604357,39,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,6
神奈川県,横浜市,3777491,13.8,51.8,22.6,24.8,5.8,52.4,28.6,33.5,1.88,95.5,210.0,1.6986151205859525,-2.356203703564607,-1.3790200983793746,0.9538586187826924,-0.2706875156438341,40,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,5,1
埼玉県,さいたま市,1324025,39.8,30.9,21.5,23.0,6.2,53.0,26.5,33.8,5.62,96.0,225.0,0.07913120587019822,-2.3533143881435525,0.03934026532312491,0.8615823872375362,-0.34331513242817335,41,0,高緑・低アクセス/暑熱耐性型,0,0,0,2,4,5,1
埼玉県,川越市,354571,40.2,27.4,17.7,25.2,5.8,51.5,25.0,33.4,6.94,88.0,295.0,-0.38793762117137176,-1.586064376031872,0.5399380407475366,-0.1281753683871139,-0.39055983121070525,42,0,高緑・低アクセス/暑熱耐性型,0,0,3,2,4,0,1
神奈川県,秦野市,163246,32.9,36.9,15.2,27.5,3.0,45.5,21.5,32.3,1.16,80.0,350.0,-0.004402212702549737,1.034737534130751,-1.6520734304290534,-0.9986019565756118,-0.405085016394116,43,1,高アクセス/暑熱耐性・低緑型,1,0,0,0,1,3,0
千葉県,佐倉市,168680,46.9,20.1,15.3,29.5,4.0,48.0,23.0,32.7,8.53,72.0,340.0,-1.5260488295184231,0.0066284794307416425,1.1429308156905773,-1.3519268192074496,-0.43210408840113845,44,0,高緑・低アクセス/暑熱耐性型,0,0,3,4,3,1,4
千葉県,千葉市,974951,42.1,28.6,21.1,25.0,4.5,49.0,25.0,33.2,2.87,92.0,265.0,-0.3716583331732221,-0.8586717079284318,-1.0035717668110657,0.3269264536131604,-0.47674383857488983,45,1,高アクセス/暑熱耐性・低緑型,1,0,0,2,4,0,6
千葉県,木更津市,136166,54.0,20.0,14.0,27.8,3.0,46.0,21.5,32.3,8.04,60.0,405.0,-1.549703831553781,0.9693892951263545,0.9571028536012124,-2.5183470061480184,-0.5353896722435582,46,0,高緑・低アクセス/暑熱耐性型,0,0,3,4,3,1,4
千葉県,市原市,269289,52.6,19.0,15.0,28.8,3.5,46.5,22.0,32.4,8.06,62.0,395.0,-1.6802643904528989,0.6538675988170475,0.9646876683803707,-2.330573150959932,-0.5980705685538532,47,0,高緑・低アクセス/暑熱耐性型,0,0,3,4,3,1,4
埼玉県,春日部市,231646,46.0,24.9,17.4,28.5,5.5,51.0,25.5,33.5,5.51,82.0,320.0,-1.1412704593823213,-1.5973395082263437,-0.002376215962242844,-0.6517198781393223,-0.8481765154275576,48,0,高緑・低アクセス/暑熱耐性型,0,0,3,4,3,1,7
埼玉県,久喜市,151467,46.5,27.3,14.5,28.8,5.8,51.5,25.5,33.5,5.05,72.0,365.0,-1.087885300137722,-1.7277690295205061,-0.1768269558828711,-1.5508120982677034,-1.1358233459522007,49,0,高緑・低アクセス/暑熱耐性型,0,0,3,4,3,1,7
群馬県,太田市,223014,81.5,2.8,7.1,26.5,8.0,54.5,27.5,34.2,13.69,60.0,450.0,-3.1170092605358746,-3.3418886890317485,3.0998130287132772,-2.8763405084564755,-1.5588563573277052,50,0,高緑・低アクセス/暑熱耐性型,0,1,1,1,0,4,3
埼玉県,深谷市,141451,49.1,24.2,14.4,28.2,7.0,53.5,27.0,34.0,6.28,55.0,420.0,-1.2405434661465675,-2.793233658322197,0.2896391530353307,-2.908227532494133,-1.6630913759818917,51,0,高緑・低アクセス/暑熱耐性型,0,1,1,1,0,4,7
群馬県,高崎市,370884,75.7,3.9,8.5,27.8,7.2,53.5,26.5,34.0,8.78,68.0,430.0,-3.0390298297712617,-2.7542328179396454,1.2377410004300493,-2.284353310952333,-1.7099687395582976,52,0,高緑・低アクセス/暑熱耐性型,0,1,1,1,0,4,3
群馬県,桐生市,105862,74.8,1.8,8.9,33.5,5.5,50.5,24.0,33.2,7.4008802726502045,55.0,410.0,-3.8616571229179666,-1.106877308756049,0.7147226159185126,-2.828673420870031,-1.7706213091563834,53,0,高緑・低アクセス/暑熱耐性型,0,1,1,1,0,4,3
群馬県,前橋市,332149,78.6,1.2,10.8,29.2,8.5,55.0,28.5,34.5,10.14,65.0,445.0,-3.4492358184232126,-3.8584313304092572,1.7535084054127767,-2.566014093734463,-2.030043209288539,54,0,高緑・低アクセス/暑熱耐性型,0,1,1,1,0,4,3
群馬県,伊勢崎市,212120,78.2,1.0,10.2,25.8,9.0,55.5,28.0,34.5,5.26,62.0,440.0,-2.993103875064028,-3.9498600113208675,-0.09718640070171472,-2.688566653268389,-2.43217923508875,55,0,高緑・低アクセス/暑熱耐性型,0,1,1,1,0,4,3
埼玉県,熊谷市,195068,47.3,27.0,19.0,29.0,15.2,58.5,32.0,35.8,3.48,68.0,410.0,-1.155841177396086,-7.117181298475994,-0.7722349160467544,-2.12524508770413,-2.7926256199057407,56,0,高緑・低アクセス/暑熱耐性型,0,1,1,1,5,6,5
